incident_id,chunk_index,chunk_id,chunk_text,chunk_token_count
RCA-00011,0,RCA-00011_chunk_0,"incident context : incident description : users reported load balancer failure affecting the load balancer. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : network severity : medium priority : p4 affected service : load balancer environment : production issue type : load balancer failure observed technical signals : feature observed cpu percent : 92 feature observed memory percent : 60 feature request latency ms : 5711 feature error rate percent : 24. 27 feature affected records or requests : 412353 feature incident duration minutes : 459 feature retry count : 1 feature packet loss percent : 3. 98 feature network latency ms : 246 feature bandwidth utilization percent : 97 feature dns response ms : 299",156
RCA-00012,0,RCA-00012_chunk_0,"incident context : incident description : users reported failover synchronization issue affecting the customer database. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : database severity : high priority : p4 affected service : customer database environment : production issue type : failover synchronization issue observed technical signals : feature observed cpu percent : 81 feature observed memory percent : 93 feature request latency ms : 4281 feature error rate percent : 27. 06 feature affected records or requests : 259280 feature incident duration minutes : 216 feature retry count : 8 feature db connections : 439 feature db cpu percent : 88 feature query latency ms : 1667 feature lock waits : 405 feature replication lag seconds : 1355",164
RCA-00013,0,RCA-00013_chunk_0,"incident context : incident description : users reported suspicious api traffic affecting the api gateway. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : security severity : medium priority : p3 affected service : api gateway environment : production issue type : suspicious api traffic observed technical signals : feature observed cpu percent : 75 feature observed memory percent : 54 feature request latency ms : 2038 feature error rate percent : 41. 1 feature affected records or requests : 156790 feature incident duration minutes : 523 feature retry count : 6 feature suspicious requests : 38349 feature blocked requests : 19710 feature authentication failures : 5859 feature security event count : 7261",151
RCA-00014,0,RCA-00014_chunk_0,"incident context : incident description : support received multiple reports of schema evolution failure in the etl pipeline. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : data / data pipeline severity : high priority : p2 affected service : etl pipeline environment : production issue type : schema evolution failure observed technical signals : feature observed cpu percent : 97 feature observed memory percent : 61 feature request latency ms : 5996 feature error rate percent : 38. 05 feature affected records or requests : 283370 feature incident duration minutes : 120 feature retry count : 3 feature records processed : 1718714 feature records affected : 283370 feature pipeline delay minutes : 115 feature validation failure rate percent : 6. 82 feature schema check : failed",169
RCA-00015,0,RCA-00015_chunk_0,"incident context : incident description : the customer account service experienced an incident associated with login failure. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : user / customer incident severity : low priority : p3 affected service : customer account service environment : production issue type : login failure observed technical signals : feature observed cpu percent : 53 feature observed memory percent : 59 feature request latency ms : 404 feature error rate percent : 16. 44 feature affected records or requests : 232894 feature incident duration minutes : 413 feature retry count : 5",131
RCA-00016,0,RCA-00016_chunk_0,"incident context : incident description : the inventory service experienced an incident associated with incorrect business rule. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : business process / configuration severity : low priority : p2 affected service : inventory service environment : production issue type : incorrect business rule observed technical signals : feature observed cpu percent : 88 feature observed memory percent : 64 feature request latency ms : 3255 feature error rate percent : 8. 98 feature affected records or requests : 209938 feature incident duration minutes : 292 feature retry count : 12",128
RCA-00017,0,RCA-00017_chunk_0,"incident context : incident description : support received multiple reports of http 401 errors in the payment api. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : api / microservices severity : critical priority : p3 affected service : payment api environment : production issue type : http 401 errors observed technical signals : feature observed cpu percent : 87 feature observed memory percent : 42 feature request latency ms : 4739 feature error rate percent : 3. 76 feature affected records or requests : 135230 feature incident duration minutes : 218 feature retry count : 7",131
RCA-00018,0,RCA-00018_chunk_0,"incident context : incident description : users reported cache inconsistency affecting the customer portal. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : application / software severity : low priority : p3 affected service : customer portal environment : production issue type : cache inconsistency observed technical signals : feature observed cpu percent : 66 feature observed memory percent : 94 feature request latency ms : 3928 feature error rate percent : 4. 92 feature affected records or requests : 484887 feature incident duration minutes : 195 feature retry count : 11",130
RCA-00019,0,RCA-00019_chunk_0,"incident context : incident description : monitoring and support tickets indicated memory pressure on the application cluster. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : capacity / performance management severity : critical priority : p4 affected service : application cluster environment : production issue type : memory pressure observed technical signals : feature observed cpu percent : 54 feature observed memory percent : 72 feature request latency ms : 2648 feature error rate percent : 14. 74 feature affected records or requests : 357713 feature incident duration minutes : 664 feature retry count : 4 feature normal workload multiplier : 5. 34 feature peak cpu percent : 77 feature peak memory percent : 88 feature queue depth : 34896",159
RCA-00020,0,RCA-00020_chunk_0,"incident context : incident description : support received multiple reports of inventory configuration error in the order workflow. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : business process / configuration severity : high priority : p4 affected service : order workflow environment : production issue type : inventory configuration error observed technical signals : feature observed cpu percent : 70 feature observed memory percent : 89 feature request latency ms : 50 feature error rate percent : 33. 74 feature affected records or requests : 69108 feature incident duration minutes : 512 feature retry count : 9",130
RCA-00021,0,RCA-00021_chunk_0,"incident context : incident description : support received multiple reports of incorrect result in the reporting portal. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : user / customer incident severity : medium priority : p2 affected service : reporting portal environment : production issue type : incorrect result observed technical signals : feature observed cpu percent : 93 feature observed memory percent : 73 feature request latency ms : 3696 feature error rate percent : 40. 02 feature affected records or requests : 386235 feature incident duration minutes : 592 feature retry count : 2",130
RCA-00022,0,RCA-00022_chunk_0,"incident context : incident description : the reporting database experienced an incident associated with database port unavailable. the issue was observed in the development environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : database severity : low priority : p3 affected service : reporting database environment : development issue type : database port unavailable observed technical signals : feature observed cpu percent : 76 feature observed memory percent : 49 feature request latency ms : 1915 feature error rate percent : 13. 45 feature affected records or requests : 71995 feature incident duration minutes : 607 feature retry count : 7 feature db connections : 985 feature db cpu percent : 88 feature query latency ms : 7939 feature lock waits : 134 feature replication lag seconds : 2",158
RCA-00023,0,RCA-00023_chunk_0,"incident context : incident description : the cloud storage experienced an incident associated with authentication provider outage. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : external dependencies severity : critical priority : p3 affected service : cloud storage environment : production issue type : authentication provider outage observed technical signals : feature observed cpu percent : 88 feature observed memory percent : 54 feature request latency ms : 3530 feature error rate percent : 12. 5 feature affected records or requests : 362869 feature incident duration minutes : 191 feature retry count : 4",130
RCA-00024,0,RCA-00024_chunk_0,"incident context : incident description : support received multiple reports of data drift in the master data platform. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : data / data pipeline severity : medium priority : p3 affected service : master data platform environment : production issue type : data drift observed technical signals : feature observed cpu percent : 88 feature observed memory percent : 37 feature request latency ms : 4068 feature error rate percent : 37. 72 feature affected records or requests : 114791 feature incident duration minutes : 689 feature retry count : 7 feature records processed : 1911028 feature records affected : 114791 feature pipeline delay minutes : 242 feature validation failure rate percent : 12. 33 feature schema check : warning",167
RCA-00025,0,RCA-00025_chunk_0,"incident context : incident description : support received multiple reports of packet loss in the application network. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : network severity : high priority : p3 affected service : application network environment : production issue type : packet loss observed technical signals : feature observed cpu percent : 98 feature observed memory percent : 54 feature request latency ms : 3430 feature error rate percent : 41. 16 feature affected records or requests : 300677 feature incident duration minutes : 480 feature retry count : 7 feature packet loss percent : 5. 63 feature network latency ms : 281 feature bandwidth utilization percent : 60 feature dns response ms : 990",154
RCA-00026,0,RCA-00026_chunk_0,"incident context : incident description : support received multiple reports of firewall blocking in the dns service. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : network severity : medium priority : p3 affected service : dns service environment : production issue type : firewall blocking observed technical signals : feature observed cpu percent : 77 feature observed memory percent : 43 feature request latency ms : 3643 feature error rate percent : 32. 96 feature affected records or requests : 437960 feature incident duration minutes : 161 feature retry count : 7 feature packet loss percent : 11. 26 feature network latency ms : 772 feature bandwidth utilization percent : 67 feature dns response ms : 1338",159
RCA-00027,0,RCA-00027_chunk_0,"incident context : incident description : the cloud iam experienced an incident associated with suspicious api traffic. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : security severity : critical priority : p4 affected service : cloud iam environment : production issue type : suspicious api traffic observed technical signals : feature observed cpu percent : 82 feature observed memory percent : 86 feature request latency ms : 1666 feature error rate percent : 31. 18 feature affected records or requests : 492741 feature incident duration minutes : 425 feature retry count : 9 feature suspicious requests : 48429 feature blocked requests : 30880 feature authentication failures : 19344 feature security event count : 8810",152
RCA-00028,0,RCA-00028_chunk_0,"incident context : incident description : the order workflow experienced an incident associated with manual configuration error. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : business process / configuration severity : critical priority : p3 affected service : order workflow environment : production issue type : manual configuration error observed technical signals : feature observed cpu percent : 97 feature observed memory percent : 66 feature request latency ms : 3966 feature error rate percent : 1. 34 feature affected records or requests : 149001 feature incident duration minutes : 513 feature retry count : 7",131
RCA-00029,0,RCA-00029_chunk_0,"incident context : incident description : monitoring and support tickets indicated inventory configuration error on the order workflow. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : business process / configuration severity : high priority : p2 affected service : order workflow environment : production issue type : inventory configuration error observed technical signals : feature observed cpu percent : 87 feature observed memory percent : 57 feature request latency ms : 5849 feature error rate percent : 26. 99 feature affected records or requests : 207819 feature incident duration minutes : 391 feature retry count : 1",132
RCA-00030,0,RCA-00030_chunk_0,"incident context : incident description : monitoring and support tickets indicated secondary - region failure on the dr platform. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : business continuity / disaster recovery severity : high priority : p3 affected service : dr platform environment : production issue type : secondary - region failure observed technical signals : feature observed cpu percent : 66 feature observed memory percent : 82 feature request latency ms : 1830 feature error rate percent : 6. 18 feature affected records or requests : 331636 feature incident duration minutes : 213 feature retry count : 8 feature rpo minutes : 1321 feature rto minutes : 1094 feature backup age hours : 418 feature recovery test status : failed",158
RCA-00031,0,RCA-00031_chunk_0,"incident context : incident description : monitoring and support tickets indicated backup failure on the mysql database. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : database severity : medium priority : p3 affected service : mysql database environment : production issue type : backup failure observed technical signals : feature observed cpu percent : 42 feature observed memory percent : 44 feature request latency ms : 775 feature error rate percent : 40. 22 feature affected records or requests : 272264 feature incident duration minutes : 466 feature retry count : 9 feature db connections : 1262 feature db cpu percent : 52 feature query latency ms : 6711 feature lock waits : 163 feature replication lag seconds : 1081",164
RCA-00032,0,RCA-00032_chunk_0,"incident context : incident description : the application support experienced an incident associated with repeated temporary workaround. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : human / operational severity : high priority : p3 affected service : application support environment : production issue type : repeated temporary workaround observed technical signals : feature observed cpu percent : 92 feature observed memory percent : 35 feature request latency ms : 815 feature error rate percent : 44. 42 feature affected records or requests : 249740 feature incident duration minutes : 553 feature retry count : 12",130
RCA-00033,0,RCA-00033_chunk_0,"incident context : incident description : users reported network congestion affecting the load balancer. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : network severity : medium priority : p3 affected service : load balancer environment : production issue type : network congestion observed technical signals : feature observed cpu percent : 54 feature observed memory percent : 49 feature request latency ms : 3291 feature error rate percent : 32. 68 feature affected records or requests : 139573 feature incident duration minutes : 110 feature retry count : 9 feature packet loss percent : 14. 58 feature network latency ms : 893 feature bandwidth utilization percent : 98 feature dns response ms : 30",152
RCA-00034,0,RCA-00034_chunk_0,"incident context : incident description : support received multiple reports of source - system failure in the data warehouse. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : data / data pipeline severity : critical priority : p3 affected service : data warehouse environment : production issue type : source - system failure observed technical signals : feature observed cpu percent : 60 feature observed memory percent : 60 feature request latency ms : 422 feature error rate percent : 25. 44 feature affected records or requests : 441920 feature incident duration minutes : 541 feature retry count : 12 feature records processed : 1260902 feature records affected : 441920 feature pipeline delay minutes : 239 feature validation failure rate percent : 1. 81 feature schema check : failed",167
RCA-00035,0,RCA-00035_chunk_0,"incident context : incident description : the tax service experienced an incident associated with sla / process bottleneck. the issue was observed in the staging environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : business process / configuration severity : high priority : p1 affected service : tax service environment : staging issue type : sla / process bottleneck observed technical signals : feature observed cpu percent : 68 feature observed memory percent : 88 feature request latency ms : 3745 feature error rate percent : 7. 2 feature affected records or requests : 179550 feature incident duration minutes : 373 feature retry count : 6",134
RCA-00036,0,RCA-00036_chunk_0,"incident context : incident description : monitoring and support tickets indicated partial deployment on the production environment. the issue was observed in the staging environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. a recent production change was detected shortly before the incident. category : deployment / change management severity : medium priority : p2 affected service : production environment environment : staging issue type : partial deployment observed technical signals : feature observed cpu percent : 67 feature observed memory percent : 84 feature request latency ms : 340 feature error rate percent : 23. 35 feature affected records or requests : 217458 feature incident duration minutes : 35 feature retry count : 8 feature change event : production change detected before incident feature minutes after change : 19 feature error rate before change percent : 1. 58 feature error rate after change percent : 41. 78",172
RCA-00037,0,RCA-00037_chunk_0,"incident context : incident description : support received multiple reports of recovery point objective breach in the database recovery service. the issue was observed in the uat environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : business continuity / disaster recovery severity : medium priority : p2 affected service : database recovery service environment : uat issue type : recovery point objective breach observed technical signals : feature observed cpu percent : 46 feature observed memory percent : 77 feature request latency ms : 2458 feature error rate percent : 18. 73 feature affected records or requests : 141913 feature incident duration minutes : 80 feature retry count : 0 feature rpo minutes : 743 feature rto minutes : 1353 feature backup age hours : 562 feature recovery test status : failed",163
RCA-00038,0,RCA-00038_chunk_0,"incident context : incident description : users reported test data problem affecting the qa environment. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : testing / quality severity : high priority : p3 affected service : qa environment environment : production issue type : test data problem observed technical signals : feature observed cpu percent : 99 feature observed memory percent : 53 feature request latency ms : 5229 feature error rate percent : 18. 55 feature affected records or requests : 457934 feature incident duration minutes : 593 feature retry count : 6 feature tests executed : 8026 feature tests failed : 380 feature coverage percent : 37. 64 feature environment match : true",152
RCA-00039,0,RCA-00039_chunk_0,"incident context : incident description : support received multiple reports of data validation failure in the master data platform. the issue was observed in the development environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : data / data pipeline severity : medium priority : p4 affected service : master data platform environment : development issue type : data validation failure observed technical signals : feature observed cpu percent : 51 feature observed memory percent : 50 feature request latency ms : 207 feature error rate percent : 21. 78 feature affected records or requests : 121920 feature incident duration minutes : 293 feature retry count : 10 feature records processed : 862013 feature records affected : 121920 feature pipeline delay minutes : 609 feature validation failure rate percent : 2. 51 feature schema check : passed",166
RCA-00040,0,RCA-00040_chunk_0,"incident context : incident description : the customer portal experienced an incident associated with file upload failure. the issue was observed in the uat environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : user / customer incident severity : medium priority : p1 affected service : customer portal environment : uat issue type : file upload failure observed technical signals : feature observed cpu percent : 52 feature observed memory percent : 60 feature request latency ms : 2287 feature error rate percent : 32. 38 feature affected records or requests : 168013 feature incident duration minutes : 185 feature retry count : 6",131
RCA-00041,0,RCA-00041_chunk_0,"incident context : incident description : users reported connection growth affecting the message queue. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : capacity / performance management severity : medium priority : p1 affected service : message queue environment : production issue type : connection growth observed technical signals : feature observed cpu percent : 40 feature observed memory percent : 48 feature request latency ms : 1829 feature error rate percent : 19. 43 feature affected records or requests : 288069 feature incident duration minutes : 51 feature retry count : 3 feature normal workload multiplier : 2. 79 feature peak cpu percent : 76 feature peak memory percent : 71 feature queue depth : 67164",154
RCA-00042,0,RCA-00042_chunk_0,"incident context : incident description : the service desk experienced an incident associated with wrong deployment. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. a recent production change was detected shortly before the incident. category : human / operational severity : medium priority : p3 affected service : service desk environment : production issue type : wrong deployment observed technical signals : feature observed cpu percent : 82 feature observed memory percent : 67 feature request latency ms : 1872 feature error rate percent : 14. 32 feature affected records or requests : 320538 feature incident duration minutes : 544 feature retry count : 6 feature change event : production change detected before incident feature minutes after change : 24 feature error rate before change percent : 1. 8 feature error rate after change percent : 24. 76",171
RCA-00043,0,RCA-00043_chunk_0,"incident context : incident description : monitoring and support tickets indicated excessive logging on the ntp service. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : monitoring / observability severity : medium priority : p2 affected service : ntp service environment : production issue type : excessive logging observed technical signals : feature observed cpu percent : 85 feature observed memory percent : 83 feature request latency ms : 1134 feature error rate percent : 1. 32 feature affected records or requests : 382197 feature incident duration minutes : 134 feature retry count : 3 feature telemetry events : 83924 feature missing signal percent : 56. 82 feature alert delay seconds : 3131 feature metric collection status : failed",162
RCA-00044,0,RCA-00044_chunk_0,"incident context : incident description : monitoring and support tickets indicated incorrect business logic on the notification service. the issue was observed in the uat environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : application / software severity : low priority : p1 affected service : notification service environment : uat issue type : incorrect business logic observed technical signals : feature observed cpu percent : 48 feature observed memory percent : 96 feature request latency ms : 4308 feature error rate percent : 42. 07 feature affected records or requests : 231967 feature incident duration minutes : 122 feature retry count : 10",131
RCA-00045,0,RCA-00045_chunk_0,"incident context : incident description : users reported file upload failure affecting the e - commerce platform. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : user / customer incident severity : medium priority : p3 affected service : e - commerce platform environment : production issue type : file upload failure observed technical signals : feature observed cpu percent : 75 feature observed memory percent : 82 feature request latency ms : 2406 feature error rate percent : 19. 78 feature affected records or requests : 129943 feature incident duration minutes : 453 feature retry count : 10",133
RCA-00046,0,RCA-00046_chunk_0,"incident context : incident description : support received multiple reports of bandwidth exhaustion in the corporate network. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : network severity : medium priority : p3 affected service : corporate network environment : production issue type : bandwidth exhaustion observed technical signals : feature observed cpu percent : 38 feature observed memory percent : 52 feature request latency ms : 1377 feature error rate percent : 6. 35 feature affected records or requests : 123105 feature incident duration minutes : 167 feature retry count : 12 feature packet loss percent : 1. 25 feature network latency ms : 1458 feature bandwidth utilization percent : 74 feature dns response ms : 931",154
RCA-00047,0,RCA-00047_chunk_0,"incident context : incident description : monitoring and support tickets indicated load balancer failure on the application network. the issue was observed in the development environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : network severity : high priority : p3 affected service : application network environment : development issue type : load balancer failure observed technical signals : feature observed cpu percent : 83 feature observed memory percent : 40 feature request latency ms : 3526 feature error rate percent : 38. 62 feature affected records or requests : 246342 feature incident duration minutes : 68 feature retry count : 3 feature packet loss percent : 1. 82 feature network latency ms : 742 feature bandwidth utilization percent : 87 feature dns response ms : 169",157
RCA-00048,0,RCA-00048_chunk_0,"incident context : incident description : users reported service - to - service communication failure affecting the inventory api. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : api / microservices severity : high priority : p3 affected service : inventory api environment : production issue type : service - to - service communication failure observed technical signals : feature observed cpu percent : 68 feature observed memory percent : 42 feature request latency ms : 5035 feature error rate percent : 32. 97 feature affected records or requests : 498896 feature incident duration minutes : 269 feature retry count : 3",138
RCA-00049,0,RCA-00049_chunk_0,"incident context : incident description : monitoring and support tickets indicated test data problem on the release validation. the issue was observed in the uat environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : testing / quality severity : high priority : p3 affected service : release validation environment : uat issue type : test data problem observed technical signals : feature observed cpu percent : 89 feature observed memory percent : 83 feature request latency ms : 426 feature error rate percent : 22. 24 feature affected records or requests : 364306 feature incident duration minutes : 84 feature retry count : 10 feature tests executed : 9359 feature tests failed : 189 feature coverage percent : 39. 41 feature environment match : true",154
RCA-00050,0,RCA-00050_chunk_0,"incident context : incident description : the load balancer experienced an incident associated with network connectivity failure. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : network severity : medium priority : p3 affected service : load balancer environment : production issue type : network connectivity failure observed technical signals : feature observed cpu percent : 69 feature observed memory percent : 68 feature request latency ms : 3045 feature error rate percent : 35. 42 feature affected records or requests : 1441 feature incident duration minutes : 387 feature retry count : 3 feature packet loss percent : 11. 46 feature network latency ms : 777 feature bandwidth utilization percent : 79 feature dns response ms : 858",157
RCA-00051,0,RCA-00051_chunk_0,"incident context : incident description : the corporate network experienced an incident associated with privilege escalation. the issue was observed in the uat environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : security severity : medium priority : p2 affected service : corporate network environment : uat issue type : privilege escalation observed technical signals : feature observed cpu percent : 99 feature observed memory percent : 62 feature request latency ms : 3787 feature error rate percent : 35. 26 feature affected records or requests : 3195 feature incident duration minutes : 548 feature retry count : 0 feature suspicious requests : 15823 feature blocked requests : 5338 feature authentication failures : 12592 feature security event count : 693",156
